label,text,scenario,tactic_primary,entities,notes
Ham,vince just in case here is a draft copy of the event for you to refer to paul finmathmail doc,FINANCE_TRADING,null,0:5:PERSON;68:72:PERSON;73:89:ATTACHMENT,
Ham,mary the rate currency business requirement is to be able to get a next day fx wire done through escapenumber escapenumber pm in unify this unify systems transaction would then interface to accountsfpayable and then to treasury via the related systems processes as discussed on the phone please call laurel or myself if more informationis needed sheila forwarded by sheila glover hou ect on escapenumber escapenumber escapenumber escapenumber escapenumber pm enron global finance from mary perkins escapenumber escapenumber escapenumber escapenumber escapenumber pm to sheila glover hou ect ect cc brent a price hou ect ect sally beck hou ect ect laurel adams hou ect ect theresa t brogan hou ect ect sam round hou ect ect subject re manual wires sign off sheila changes to the manual list for north america need to be authorized by wes and sally we are specifically limiting the number of signers i think that what we need to do is immediately address the issues that are causing your wires to miss the standard process we did not have the issue prior to sap please outline your processing requirements and we can work together with ap and sap to fix the underlying issue thanks for the help mary from sheila glover escapenumber escapenumber escapenumber escapenumber escapenumber am to mary perkins hou ect ect cc brent a price hou ect ect sally beck hou ect ect laurel adams hou ect ect theresa t brogan hou ect ect subject manual wires sign off mary i want my name and theresa brogan ' s added to the authorized approvers on manual wires thanks sheila forwarded by sheila glover hou ect on escapenumber escapenumber escapenumber escapenumber escapenumber am from sheila glover escapenumber escapenumber escapenumber escapenumber escapenumber am to mary perkins hou ect ect larry dallman gpgfin enron enron wes colwell hou ect ect cc frieda schutza gpgfin enron enron carolyn centilli corp enron enron laurel adams hou ect ect brent a price hou ect ect sally beck hou ect ect subject manual wires mary larry and wes we just received a faxed copy of the manual wire and same day payment memo which was sent by betty tauzier on escapenumber escapenumber escapenumber rate currency trades fx which is settled the following day and requires next day payments for fx currently we are severely hampered because our infomation is required into unify by escapenumber escapenumber for an accounts payable run at escapenumber escapenumber for next day payments we are still trading after these cut offs and tying out the day ' s activity with trading therefore we currently have to rely on manual wires to make payments to our counterparties on the value date we need to get timeframes which mirror our business requirements i would like to get the accounts payable run for our companies escapenumber and escapenumber moved to after escapenumber escapenumber pm information is not due to the bank until next day escapenumber escapenumber am london time please let laurel and me know what changes can be done to our processing flows thanks sheila,FINANCE_TRADING,AUTHORITY,0:4:PERSON;237:243:PERSON;262:275:PERSON;425:437:PERSON;474:486:PERSON;503:517:PERSON;534:543:PERSON;560:572:PERSON;589:605:PERSON;622:632:PERSON;831:835:PERSON;862:875:PERSON;948:962:PERSON;979:988:PERSON;1005:1017:PERSON;1034:1050:PERSON;1158:1171:PERSON;1326:1339:PERSON;1356:1368:PERSON;1385:1397:PERSON;1414:1426:PERSON;1443:1459:PERSON;1476:1493:PERSON;1510:1519:PERSON;1536:1548:PERSON;1716:1728:PERSON,
Ham,team below is a project request spreadsheet developed by facility planning we will use this form in an attempt to better communicate and track all the various cost estimates and project requests originating from tw marketing this form should at a minimum help to escapenumber better track requests escapenumber allocate planning and engineering resources and escapenumber better communicate needs and wants so more accurate cost figures can be generated this form is a preliminary step in a larger project that eric faucheaux is developing for now tw marketing is required to submit this form to fp on any new project requests effective immediately if once a form is submitted and the project is later revised then a revised form must be submitted this is a great tool that will not only help us but will help all the groups that support us and our marketing efforts thanks for your cooperation kh original message from faucheaux eric sent thursday march escapenumber escapenumber escapenumber escapenumber am to hyatt kevin subject re cost estimate kevin this is okay for now facility planning will be rolling out a form and procedures in the very near future that we will all use attached is just a sample of the form and general functionality select enable macros when opening i am currently revising it,EXPENSE_ADMIN,AUTHORITY,455:467:PERSON;481:492:PERSON;891:905:PERSON;917:928:PERSON,
Ham,anita there is a delivery nom of escapenumber the above mentioned meter for escapenumber escapenumber production this is a receipt meter can you please explain the purpose of this delivery nom being this receipt meter i also have the same situation escapenumber escapenumber for escapenumber escapenumber also this activity is continuing on into escapenumber escapenumber clem cernosek expressed that these delivery noms are causing errors on his end of the spectrum forwarded by jackie young hou ect on escapenumber escapenumber escapenumber escapenumber escapenumber pm lauri a allen escapenumber escapenumber escapenumber escapenumber escapenumber pm to jackie young hou ect ect cc daren j farmer hou ect ect pat clynes corp enron enron subject meter escapenumber jackie i cannot for the life of me remember why this sale deal is in there i do believe it is valid and is a part of the purchase deal with tesoro jill zively was the dealmaker and could probably answer your question as could george weissman and melissa graves you might also check with anita the allocator to see the support she gets for the allocation this may give you some clue as to what this volume represents let me know too since i hate forgetting things,FINANCE_TRADING,null,0:5:PERSON;253:267:PERSON;298:313:PERSON;366:378:PERSON;397:410:PERSON;428:438:PERSON;598:611:PERSON;664:678:PERSON;683:697:PERSON;702:707:PERSON,
Ham,here is the list marcelo and i put together in september see attachment at the bottom forwarded by shona wilson na enron on escapenumber escapenumber escapenumber escapenumber escapenumber pm from shona wilson escapenumber escapenumber escapenumber escapenumber escapenumber pm to mike jordan lon ect ect cc subject re action point list forwarded by shona wilson na enron on escapenumber escapenumber escapenumber escapenumber escapenumber pm from shona wilson escapenumber escapenumber escapenumber escapenumber escapenumber am to paul wallace hel ect ect cc tim poullain patterson lon ect ect richard sage lon ect ect mike jordan lon ect ect alfred pennisi mglondon com marcelo parra mgusa com louis colarusso mgusa com andy cornfield william morley eu enron enron subject re action point list dear paul thanks for the update can you liase with al pennisi and marcelo parra to look at the r n information we are trying to get a handle on how comfortable we are outsourcing the majority of the middle office for the us brokerage business not just settlements but nearly all functions al is putting together some information regarding r n together with al kevin rhodes and marcelo we should be able to come to a recommendation either the middle office operations is something we should start to do ourselves or that we think it is best to continue to use r n as an outsourcer for the brokerage business if you want to discuss call me at escapenumber escapenumber escapenumber regards shona paul wallace ect escapenumber escapenumber escapenumber escapenumber escapenumber am to shona wilson na enron enron cc tim poullain patterson lon ect ect richard sage lon ect ect mike jordan lon ect ect alfred pennisi mglondon com enron mary perkins hou ect ect marcelo parra mgusa com enron louis colarusso mgusa com enron andy cornfield enron william morley eu enron enron subject re action point list hi shona ideally i think will morley recent hire to london documentation team should be looking after the documentation area as he is managing the london side i will confirm this on the settlements side i am happy to look at the rolfe nowlan side as i have around escapenumber years experience using and developing r n in my previous employments thanks enron capital trade resources corp from shona wilson enron escapenumber escapenumber escapenumber escapenumber escapenumber to tim poullain patterson lon ect ect richard sage lon ect ect mike jordan lon ect ect cc alfred pennisi mglondon com mary perkins hou ect ect marcelo parra mgusa com louis colarusso mgusa com andy cornfield paul wallace hel ect ect subject action point list as requested here is the action point list marcelo i put together for ny best regards shona,HR_RECRUITING,null,18:25:PERSON;102:114:PERSON;161:173:PERSON;199:210:PERSON;270:282:PERSON;319:331:PERSON;367:379:PERSON;404:428:PERSON;446:458:PERSON;476:487:PERSON;505:520:PERSON;521:535:EMAIL;536:548:PERSON;549:560:EMAIL;561:576:PERSON;577:588:EMAIL;589:603:PERSON;604:618:PERSON;642:646:PERSON;681:692:PERSON;697:709:PERSON;1098:1110:PERSON;1193:1205:PERSON;1280:1304:PERSON;1322:1334:PERSON;1352:1363:PERSON;1381:1396:PERSON;1397:1411:EMAIL;1419:1431:PERSON;1451:1463:PERSON;1464:1475:EMAIL;1483:1498:PERSON;1499:1510:EMAIL;1518:1532:PERSON;1540:1552:PERSON;1588:1593:PERSON;1609:1620:PERSON;1912:1924:PERSON;2019:2043:PERSON;2061:2073:PERSON;2091:2102:PERSON;2121:2136:PERSON;2137:2151:EMAIL;2152:2164:PERSON;2184:2196:PERSON;2197:2208:EMAIL;2209:2224:PERSON;2225:2236:EMAIL;2237:2251:PERSON;2252:2264:PERSON,
Ham,you made my day original message from kitchen louise sent friday october escapenumber escapenumber escapenumber escapenumber am to palmer mark a pr subject chin up as the brits say hard times but we ' re all behind you keep going,HR_RECRUITING,null,28:42:PERSON;93:109:PERSON,
Ham,company from enron attached is a draft press release regarding the completion of aep ' s purchase of hpl this transaction is expected to close today friday june escapenumber and the release would follow the completion of the deal please review and return any comments to me at your earliest convenience eric,FINANCE_TRADING,null,13:18:ORG;78:81:ORG;95:98:ORG;161:165:DATE;285:289:PERSON,
Ham,this list is just a basic excel document with names id ' s and e mail addresses pam escapenumber escapenumber escapenumber at escapenumber escapenumber pm escapenumber escapenumber escapenumber escapenumber you wrote pam thanks the list of e mail addresses would be useful as well vince pamela vande krol castro on escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber pm to vince j kaminski enron com cc subject mgmt escapenumber rice university here are your rosters for mgmt escapenumber let me know if you need a list of e mail addresses as well i will update you as student schedules change pam escapenumber escapenumber escapenumber see attached file escapenumber doc escapenumber xls,HR_RECRUITING,null,78:81:PERSON;186:191:PERSON;192:215:PERSON;271:288:EMAIL;301:305:ID;306:321:ORG;550:553:PERSON,
Ham,hi sally i need to be working on my newest project for which we went to hallettsville this week and tomorrow is garden club and i am almost through as president i will not preside in april as i have a conflict new secretary in colonial dames and then all we have left in garden club will be our may luncheon being presdent has not been too bad as all of the ladies are very helpful my project is the completion of our papers for the recognition of our cemetery by the state historic commissson that is why we were in hallettville hope to get that done by tuesday there are many attachments necessary we stayed in a bed and breakfast which was fair but not oustanding breakfast i ran by to see dot for a few minutes before we headed home mary had spent sunday night with us to go with us and we met our cousin from missouri city also enough of that this will be a great quick way to communicate i am glad cindy gave me your address hope you have had a great week end i will write more another time love mom almost signed it sue,SOCIAL_PERSONAL,null,3:8:PERSON;67:80:LOCATION;522:533:LOCATION;739:742:PERSON;763:767:PERSON;822:835:LOCATION;900:905:PERSON,
Ham,i will be in new york tuesday and wednesday on business let me know if there is an alternate time date including today laura original message from schoppe tammie sent monday september escapenumber escapenumber escapenumber escapenumber pm to luce laura subject re trading origination the only time louise has available is from escapenumber escapenumber escapenumber escapenumber p m tomorrow escapenumber escapenumber please let me know if this will work for you thanks tammie schoppe enron americas office of the chair assistant to louise kitchen escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber fax escapenumber escapenumber escapenumber mobile original message from luce laura sent monday september escapenumber escapenumber escapenumber escapenumber pm to kitchen louise cc schoppe tammie subject trading origination louise hunter and i would like to meet with you for escapenumber minutes to discuss escapenumber interface between trading and origination escapenumber trading origination track as usual we have an opinion and i wanted to ensure you heard our view laura,HR_RECRUITING,null,13:21:LOCATION;108:113:PERSON;130:143:PERSON;170:180:PERSON;252:258:PERSON;435:448:PERSON;476:490:PERSON;562:572:PERSON;585:599:PERSON;614:628:PERSON;630:636:PERSON;795:800:PERSON,
Ham,louise never heard from shawn any issues with me contacting on monday jim original message from kitchen louise sent wednesday january escapenumber escapenumber escapenumber escapenumber pm to ' shawn k feeney ssmb com ' cc steffes james d subject re presentation shawn we have had a lot of discussion on the contractual arrangements we would need to put in place in order to recommence trading as quickly as possible i am working on producing a fuller list for you today however there is one particular contract licence which does require special treatment power marketing licence to be granted by ferc in order to ensure that we start this process as quickly as possible we are looking to complete the filing documentation in advance of the bankruptcy decision on our future our current strategy is as follows all dates are approximate present january escapenumber th escapenumber complete filing documentation january escapenumber th visit with ferc one of senior executives here plus a senior executive from our buyer january escapenumber th file and request an expedited process it would be extremelly helpful if you could identify someone for the head of our regulatory group jim steffes to co ordinate with at citi thanks louise,LEGAL_REGULATORY,null,0:6:PERSON;24:29:PERSON;69:72:PERSON;91:105:PERSON;144:149:PERSON;214:218:ORG:REGULATOR;907:911:ORG:REGULATOR;1109:1121:PERSON;1140:1144:ORG,
Ham,attached please find the cover letter from tournament chairman michael roberts plus a pdf file with all the events ' information and registration form please read the cover letter as we have instituted several changes for this year ' s tournament also i ' ve attached a pledge form if your company hasn ' t already committed to a sponsorship for this year your support ensures the success of this event which has been a long industry tradition don ' t miss this year ' s tournament,SOCIAL_PERSONAL,null,62:77:PERSON,
Ham,louise do you know of anyone in the uk that might be interested in this thanks don original message from keller dean ibd mailto dean keller ssmb com sent thursday september escapenumber escapenumber escapenumber escapenumber pm to donahue jeff detmering timothy j miller don asset mktg subject we just closed the saltend sale to calpine in the uk i thought you might find the attached interesting,FINANCE_TRADING,null,0:6:PERSON;73:76:PERSON;95:106:PERSON;126:138:EMAIL;186:198:PERSON;199:218:PERSON;219:229:PERSON;278:285:ORG,
Ham,attached is a summary of the new york rto order issued by ferc late yesterday i apologize for the length but i wanted to include a number of quotes from the order that repeat arguments that we have been making over the past few years in a procedural order issued today ferc has scheduled the northeast mediation process to begin next thursday july escapenumber th,LEGAL_REGULATORY,null,32:40:LOCATION;58:62:ORG:REGULATOR;270:274:ORG:REGULATOR,
Ham,frank i am definitely interested in the resume i can meet the candidate on campus when i visit my son i am planning to come to palo alto around thanksgiving also energy and power risk management an english publication organizes every year in houston a power risk conference typically in may they ask me for recommendations regarding speakers would you be interested in participating vince frank a wolak on escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber am to vkamins enron com cc subject vince i am writing about a student of mine who is on the job market this year when you stopped by my office about escapenumber months ago you asked if i had any students that might be appropriate for your group although i didn ' t at the time now i do this student has excellent technical skills including an m s in statistics and a ph d in economics by the end of the current academic year his dissertation research is on the investment behavior of independent power producers in the us as a result of research assistance he has done for me he knows the california market very well and is familiar with the other isos i think he would be an excellent match for you the only problem is that he will probably have many other options available however i definitely think he ' s worth a look if you ' d like him to send you a cv please let me know thanks frank wolak professor frank a wolak email wolak zia stanford edu department of economics phone escapenumber escapenumber escapenumber office stanford university fax escapenumber escapenumber escapenumber stanford ca escapenumber escapenumber phone escapenumber escapenumber escapenumber home world wide web page http www stanford edu wolak cell phone escapenumber escapenumber escapenumber,HR_RECRUITING,null,0:5:PERSON;118:127:LOCATION;366:371:PERSON;372:385:PERSON;411:429:EMAIL;442:447:PERSON;1343:1354:PERSON;1365:1378:PERSON;1385:1409:EMAIL;1452:1467:ORG;1474:1483:PHONE;1491:1508:ORG;1513:1522:PHONE;1523:1538:LOCATION;1560:1569:PHONE;1602:1632:URL;1644:1653:PHONE,
Ham,house speaker hastert has decided to close the entire capitol complex including the office buildings on the house side at the end of the working day today through monday as a precautionary move to allow for special agents and germ experts to conduct a sweep of the ventilation systems and all remaining unopened mail the senate side is expected to do the same it has also been confirmed that the anthrax laden letter sent to senate majority leader daschle ' s office was of a particularly potent high grade military quality anthrax that quickly spread once opened some escapenumber staff in dachle ' s office or the mail room have tested positive and some anthrax spores were found in the ventilation system of the hart building where daschle ' s office is located and in one of the tunnels leading to the capitol itself if there is even a hint that this military grade anthrax came from iraq there will be a strike by the u s against iraq another possibility is that the anthrax is of russian origin and was somehow illicitly acquired by al qaeda or the taliban there has not been a second anthrax letter or a new outbreak of anthrax nor is there any evidence of anthrax spores spreading to committee rooms located in the other senate or house buildings this was a pre cautionary move by house speaker hastert though it in no way diminishes how ugly the situation is,LEGAL_REGULATORY,THREAT,14:21:PERSON;445:452:PERSON;717:725:PERSON;864:868:LOCATION;902:906:LOCATION;1023:1032:ORG;1040:1047:ORG;1410:1417:PERSON,
Ham,original message from vonderheide scott sent friday october escapenumber escapenumber escapenumber escapenumber pm to port david subject structured deals original message from mckillop gordon sent friday october escapenumber escapenumber escapenumber escapenumber pm to sullo sharon e vonderheide scott subject re check list presentation,FINANCE_TRADING,null,22:39:PERSON;95:106:PERSON;121:137:PERSON;180:194:PERSON;195:212:PERSON,
Ham,nesa escapenumber rd annual meeting advance registration deadline friday august escapenumber sign up today attached below for your review is a copy of the annual meeting program you will need adobe acrobat to view the brochure which you can download from our website at www nesanet org airfare discounts are available on continental airlines official meeting airline check page escapenumber for details low fares can also be found on delta and united into savannah ga airport shuttles can be arranged through low country adventures by calling escapenumber escapenumber escapenumber or emailing info com at least escapenumber hours prior to arrival round trip from savannah is escapenumber per person round trip from hilton head is escapenumber per person delegate registration list is attached below in an excel ' escapenumber worksheet for your review please contact nesa headquarters if you have problems opening the file or to request an updated list late arrivals on wednesday september escapenumber will be accommodated by extended registration hours prior to the opening reception please join us at the nesa registration table located on the basshead deck as soon as you arrive please contact nesa headquarters at escapenumber escapenumber escapenumber with questions or for additional information our fax number is escapenumber escapenumber escapenumber don ' t delay fax your delegate registration form for the annual meeting to nesa today we look forward to welcoming you to hilton head in september escapenumber nesa escapenumber brochure pdf escapenumber annual meeting delegates xls,HR_RECRUITING,URGENCY,0:4:ORG;276:291:URL;305:326:ORG;418:423:ORG;428:434:ORG;440:448:LOCATION;476:497:ORG;610:618:LOCATION;630:641:LOCATION;827:831:ORG;1038:1042:ORG;1062:1066:ORG;1147:1151:PHONE;1217:1226:PHONE;1274:1278:ORG;1320:1331:LOCATION,
Ham,the summer associate program is a critical component of our recruiting efforts we appreciate you acting as a mentor for the following summer associate vince a reception to introduce you to the summer associates is scheduled for june escapenumber nd the reception will be held from escapenumber escapenumber pm until escapenumber escapenumber pm at sierra ' s grill located at escapenumber montrose escapenumber escapenumber escapenumber we have also provided the summer associate with your name and phone number however we encourage you to contact guiseppe prior to the reception if possible please rsvp your attendance to cheryl kuehl at x escapenumber or by email thank you charlene jackson,HR_RECRUITING,HELPFUL_SERVICE,129:134:PERSON;360:366:LOCATION;442:450:PERSON;496:508:PERSON;540:556:PERSON,
Ham,fyi i understand you are going to this meeting steve forwarded by steven harris et s enron on escapenumber escapenumber escapenumber escapenumber escapenumber am sarabeth smith escapenumber escapenumber escapenumber escapenumber escapenumber pm to mike mcgowan et s enron enron john goodpasture ots enron enron steven harris et s enron enron dave neubauer et s enron enron rockey storie et s enron enron john dushinske et s enron enron kent miller et s enron enron robert hayes fgt enron enron robert hill npng enron enron lorna brennan et s enron enron steve klimesh et s enron enron kristen hand et s enron enron kimberly watson et s enron enron martha janousek et s enron enron vasant shanbhogue hou ect ect clayton vernon corp enron enron michael ratner ots enron cc subject long term outlook additionally here is the long term outlook from wefa that accompanies the short term outlook forwarded in the previous message forwarded by sarabeth smith et s enron on escapenumber escapenumber escapenumber escapenumber escapenumber pm denhardt ron on escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber pm to sarabeth smith enron com cc subject long term outlook ron denhardt vice president energy services wefa inc escapenumber crosby drive bedford ma escapenumber tel escapenumber escapenumber escapenumber fax escapenumber escapenumber escapenumber houston lterm pdf houston lterm zip,FINANCE_TRADING,null,46:51:PERSON;63:76:PERSON;139:153:PERSON;196:209:PERSON;226:243:PERSON;260:273:PERSON;290:304:PERSON;321:337:PERSON;354:370:PERSON;387:398:PERSON;415:427:PERSON;444:455:PERSON;472:485:PERSON;502:515:PERSON;532:546:PERSON;563:578:PERSON;595:610:PERSON;627:643:PERSON;660:675:PERSON;692:706:PERSON;723:737:PERSON;788:792:ORG;914:928:PERSON;985:997:PERSON;1066:1080:EMAIL;1113:1125:PERSON;1145:1153:ORG;1163:1175:LOCATION;1176:1185:LOCATION;1194:1203:PHONE;1208:1217:PHONE,
Ham,this is to nominate escapenumber escapenumber mmbtu d for escapenumber escapenumber from hpl to eastrans escapenumber escapenumber mmbtu will come from fuels cotton valley escapenumber escapenumber mmbtu will be delivered to pg e,FINANCE_TRADING,null,65:68:ORG;72:80:ORG;117:124:ORG;176:182:ORG,
Ham,attached please find the txu fuel nominations for wednesday oct escapenumber escapenumber see attached file hpll escapenumber xls hpll escapenumber xls,FINANCE_TRADING,null,25:28:ORG;132:145:ATTACHMENT;146:159:ATTACHMENT,
Ham,escapenumber escapenumber escapenumber emily butler is scheduled for a follow up interview for the trading scheduling admin support position i will distribute a copy of her resume for your review please note the schedule for friday ' s interview emily butler mt adams conference room escapenumber escapenumber pm bill williams iii escapenumber escapenumber pm cara semperger escapenumber escapenumber pm tim belden if you have questions please let me know i can be reached at x escapenumber,HR_RECRUITING,null,24:36:PERSON;245:257:PERSON;258:276:LOCATION;295:312:PERSON;331:345:PERSON;364:374:PERSON,
Ham,forgot saguoro sold it last week original message from kitchen louise sent sunday september escapenumber escapenumber escapenumber escapenumber pm to lavorato john subject still got some bits to fill in but here is where we got to,FINANCE_TRADING,null,7:14:ORG;48:62:PERSON;102:115:PERSON,
Ham,yannis yes very much please stop by this week or during the week of the escapenumber th i am in australia next week vince,SOCIAL_PERSONAL,null,0:6:PERSON;94:103:LOCATION;115:120:PERSON,
